Query,Impressions,Clicks,CTR,Avg_Position,Date,New
http checker,2,0,0.0,18.0,17/04/2015,false
bulk url checker,2,0,0.0,17.0,17/04/2015,false
bulk redirect checker,1,0,0.0,9.0,17/04/2015,false
google mobile friendly score,1,0,0.0,10.0,17/04/2015,false
http status code checker,1,0,0.0,15.0,17/04/2015,false
bulk header check,1,0,0.0,10.0,17/04/2015,false
http response checker,1,0,0.0,28.0,17/04/2015,false
mobile checker google,1,0,0.0,9.0,17/04/2015,false
google mobile score,1,0,0.0,15.0,17/04/2015,false
bulk server header checker,1,0,0.0,7.0,17/04/2015,false
google mobile friendly checker,1,0,0.0,46.0,17/04/2015,false
bulk header checker,1,0,0.0,10.0,17/04/2015,false
google mobile checker,6,0,0.0,9.8,18/04/2015,false
bulk url checker,3,0,0.0,22.0,18/04/2015,false
http status checker,3,0,0.0,9.3,18/04/2015,false
bulk http status checker,2,0,0.0,4.0,18/04/2015,false
mobile checker google,2,0,0.0,14.0,18/04/2015,false
google mobile score,2,0,0.0,8.5,18/04/2015,false
bulk header checker,2,0,0.0,9.0,18/04/2015,false
http status code checker,1,0,0.0,15.0,18/04/2015,false
mobile google checker,1,0,0.0,25.0,18/04/2015,false
bulk http header response checker,1,0,0.0,8.0,18/04/2015,false
mobilechecker,1,0,0.0,39.0,18/04/2015,false
google mobile friendly checker,1,0,0.0,8.0,18/04/2015,false
bulk checker,1,0,0.0,48.0,18/04/2015,false
google mobile checker,12,0,0.0,12.0,19/04/2015,false
http status checker,9,0,0.0,9.4,19/04/2015,false
bulk redirect checker,3,0,0.0,8.7,19/04/2015,false
mobile friendly checker,3,0,0.0,30.0,19/04/2015,false
http status code checker,2,0,0.0,15.0,19/04/2015,false
http status check,2,0,0.0,9.5,19/04/2015,false
bulk http checker,2,0,0.0,4.0,19/04/2015,false
bulk status code checker,1,0,0.0,5.0,19/04/2015,false
mobile checker google,1,0,0.0,8.0,19/04/2015,false
google mobile score,1,0,0.0,8.0,19/04/2015,false
bulk http header response checker,1,0,0.0,7.0,19/04/2015,false
http status online,1,0,0.0,37.0,19/04/2015,true
bulk header checker,1,0,0.0,9.0,19/04/2015,false
bulk redirect checker,5,1,0.2,7.8,20/04/2015,false
bulk status code checker,2,1,0.5,4.0,20/04/2015,false
bulk http status checker,2,1,0.5,4.0,20/04/2015,false
google mobile checker,31,0,0.0,12.0,20/04/2015,false
mobile friendly checker,18,0,0.0,28.0,20/04/2015,false
http status checker,14,0,0.0,9.2,20/04/2015,false
mobile checker google,12,0,0.0,9.3,20/04/2015,false
bulk header checker,9,0,0.0,9.1,20/04/2015,false
http status check,5,0,0.0,10.0,20/04/2015,false
http status code checker,4,0,0.0,21.0,20/04/2015,false
google mobile score,4,0,0.0,8.0,20/04/2015,false
bulk server header checker,3,0,0.0,7.0,20/04/2015,false
google mobile friendly score,2,0,0.0,10.0,20/04/2015,false
google mobile friendly checker,2,0,0.0,20.0,20/04/2015,false
bulk da checker,1,0,0.0,35.0,20/04/2015,false
bulk 301 redirect checker,1,0,0.0,12.0,20/04/2015,false
header response checker,1,0,0.0,9.0,20/04/2015,false
bulk url checker,1,0,0.0,25.0,20/04/2015,false
mobilechecker,1,0,0.0,10.0,20/04/2015,false
http header status check,1,0,0.0,29.0,20/04/2015,false
bulk mobile friendly test,3,2,0.6667,3.0,21/04/2015,true
bulk http checker,2,1,0.5,4.0,21/04/2015,false
google mobile checker,55,0,0.0,11.0,21/04/2015,false
http status checker,16,0,0.0,9.2,21/04/2015,false
google mobile score,10,0,0.0,7.3,21/04/2015,false
mobile checker google,9,0,0.0,9.6,21/04/2015,false
mobile friendly checker,6,0,0.0,24.0,21/04/2015,false
bulk redirect checker,3,0,0.0,8.3,21/04/2015,false
http status check,3,0,0.0,9.3,21/04/2015,false
google mobile friendly checker,3,0,0.0,22.0,21/04/2015,false
google mobile friendly score,2,0,0.0,10.0,21/04/2015,false
redirect checker,2,0,0.0,77.0,21/04/2015,false
bulk url checker,2,0,0.0,21.0,21/04/2015,false
bulk header checker,2,0,0.0,9.0,21/04/2015,false
header response checker,1,0,0.0,50.0,21/04/2015,false
url status checker,1,0,0.0,18.0,21/04/2015,false
http status code checker,1,0,0.0,14.0,21/04/2015,false
http checker,1,0,0.0,16.0,21/04/2015,false
bulk status code checker,1,0,0.0,4.0,21/04/2015,false
bulk http status checker,1,0,0.0,4.0,21/04/2015,false
bulk http status checker,8,1,0.125,3.9,22/04/2015,false
google mobile friendly score,3,1,0.3333,8.3,22/04/2015,false
google mobile checker,31,0,0.0,10.0,22/04/2015,false
mobile friendly checker,13,0,0.0,28.0,22/04/2015,false
http status checker,11,0,0.0,9.5,22/04/2015,false
mobile checker google,7,0,0.0,9.3,22/04/2015,false
bulk header checker,7,0,0.0,9.6,22/04/2015,false
bulk redirect checker,6,0,0.0,8.2,22/04/2015,false
google mobile score,5,0,0.0,6.6,22/04/2015,false
google mobile friendly checker,3,0,0.0,24.0,22/04/2015,false
bulk http checker,3,0,0.0,4.0,22/04/2015,false
header response checker,2,0,0.0,42.0,22/04/2015,false
server response checker,2,0,0.0,47.0,22/04/2015,true
http status check,2,0,0.0,10.0,22/04/2015,false
bulk server header checker,2,0,0.0,9.0,22/04/2015,false
bulk http header response checker,2,0,0.0,9.0,22/04/2015,false
redirect checker bulk,2,0,0.0,9.5,22/04/2015,false
google mobile check tool,2,0,0.0,37.0,22/04/2015,false
http status code checker,1,0,0.0,14.0,22/04/2015,false
http checker,1,0,0.0,16.0,22/04/2015,false
bulk header check,1,0,0.0,10.0,22/04/2015,false
bulk status code checker,1,0,0.0,4.0,22/04/2015,false
mobilechecker,1,0,0.0,10.0,22/04/2015,false
mobile friendly score,1,0,0.0,16.0,22/04/2015,true
bulk http status checker,6,2,0.3333,4.3,23/04/2015,false
bulk mobile friendly test,2,2,1.0,5.0,23/04/2015,false
bulk status code checker,1,1,1.0,4.0,23/04/2015,false
google mobile checker,26,0,0.0,11.0,23/04/2015,false
http status checker,16,0,0.0,9.0,23/04/2015,false
mobile friendly checker,10,0,0.0,27.0,23/04/2015,false
mobile checker google,7,0,0.0,9.6,23/04/2015,false
bulk header checker,6,0,0.0,9.2,23/04/2015,false
bulk redirect checker,4,0,0.0,8.3,23/04/2015,false
http status check,4,0,0.0,10.0,23/04/2015,false
google mobile score,3,0,0.0,7.7,23/04/2015,false
bulk url checker,3,0,0.0,15.0,23/04/2015,false
status code checker,2,0,0.0,34.0,23/04/2015,false
header response checker,2,0,0.0,44.0,23/04/2015,false
http status code checker,2,0,0.0,16.0,23/04/2015,false
mobile friendliness checker,2,0,0.0,23.0,23/04/2015,true
http checker,1,0,0.0,16.0,23/04/2015,false
server response checker,1,0,0.0,40.0,23/04/2015,false
http response checker,1,0,0.0,28.0,23/04/2015,false
bulk server header checker,1,0,0.0,7.0,23/04/2015,false
bulk http header response checker,1,0,0.0,8.0,23/04/2015,false
http status codes checker,1,0,0.0,15.0,23/04/2015,false
http status online,1,0,0.0,30.0,23/04/2015,false
mobile freindly checker,1,0,0.0,32.0,23/04/2015,true
bulk mobile friendly test,4,2,0.5,5.5,24/04/2015,false
google mobile score,6,1,0.1667,7.7,24/04/2015,false
google mobile checker,16,0,0.0,11.0,24/04/2015,false
http status checker,9,0,0.0,9.1,24/04/2015,false
url status checker,4,0,0.0,18.0,24/04/2015,false
bulk url checker,4,0,0.0,17.0,24/04/2015,false
bulk http status checker,3,0,0.0,4.0,24/04/2015,false
mobile friendly checker,3,0,0.0,32.0,24/04/2015,false
bulk header checker,3,0,0.0,9.0,24/04/2015,false
mobile checker google,2,0,0.0,9.5,24/04/2015,false
bulk redirect checker,1,0,0.0,9.0,24/04/2015,false
